_id,text,processedText
278893,"Coconut Mocha Frappe 1/4 cup shredded coconut 1 cup coffee ice cubes 1/2 cup cold coffee 1/2 cup coconut milk beverage (such as Silk®) 3 tablespoons chocolate syrup, divided 1 packet stevia sugar substitute (such as Truvia®) 1 tablespoon fat-free whipped topping (optional)",coconut mocha frappe cup shred coconut cup coffee ice cube cup cold coffee cup coconut milk beverage silk tablespoon chocolate syrup divide packet stevia sugar substitute truvia tablespoon fat free whip top optional
278895,"Batter Rye Bread 1 1/4 cups warm water (105 to115 degrees F/40 to 45 degrees C) 2 1/2 teaspoons active dry yeast 2 teaspoons honey 1 3/4 cups all-purpose flour, divided 1 cup rye flour 1 tablespoon shortening, melted 1 tablespoon caraway seeds, or to taste 2 teaspoons salt 1 cup whole wheat flour",batter rye bread cup warm water degree f degree c teaspoon active dry yeast teaspoon honey cup purpose flour divide cup rye flour tablespoon shorten melt tablespoon caraway seed taste teaspoon salt cup whole wheat flour
278896,"Brown Butter Carrot Sheet Cake with Brown Butter-Cream Cheese Frosting Carrot Cake: 1 cup unsalted butter 1 3/4 cups all-purpose flour 2 teaspoons baking soda 1/2 teaspoon baking powder 1 1/2 teaspoons ground cinnamon 1/2 teaspoon ground allspice 1/2 teaspoon ground nutmeg 1/2 teaspoon salt 1 cup firmly packed dark brown sugar 4 eggs, at room temperature 1 1/2 teaspoons vanilla extract 3 cups shredded carrots 1/2 cup chopped walnuts 1/2 cup raisins Brown Butter-Cream Cheese Frosting: 6 tablespoons unsalted butter 1 (8 ounce) package cream cheese, softened 3 cups powdered sugar 1 teaspoon vanilla extract 1 pinch salt",brown butter carrot sheet cake brown butter cream cheese frost carrot cake cup unsalted butter cup purpose flour teaspoon bake soda teaspoon bake powder teaspoon grind cinnamon teaspoon grind allspice teaspoon grind nutmeg teaspoon salt cup firmly pack dark brown sugar egg room temperature teaspoon vanilla extract cup shred carrot cup chop walnut cup raisin brown butter cream cheese frost tablespoon unsalted butter ounce package cream cheese soften cup powder sugar teaspoon vanilla extract pinch salt
278897,"Air Fryer Chile-Cheese Frittata 1  serving cooking spray 4   eggs 3 tablespoons heavy cream 2 slices bacon, cooked and crumbled ½ cup shredded Jack cheese ¼ cup chopped green chiles (such as Ortega®) 3 tablespoons diced tomatoes 2 tablespoons finely chopped onion 1 pinch salt and ground black pepper to taste",air fryer chile cheese frittata serve cook spray egg tablespoon heavy cream slice bacon cook crumble cup shred jack cheese cup chop green chile ortega tablespoon dice tomato tablespoon finely chop onion pinch salt grind black pepper taste
278898,"Instant Pot® Pilau Rice 1 tablespoon vegetable oil ½ teaspoon cumin seeds ¼ cup diced red onion ¾ tablespoon garam masala ½ teaspoon ground turmeric ½ teaspoon salt 1 ½ cups vegetable broth 1 cup uncooked basmati rice, rinsed and drained ½ cup frozen peas and carrots 1  bay leaf",instant pot pilau rice tablespoon vegetable oil teaspoon cumin seed cup dice red onion tablespoon garam masala teaspoon grind turmeric teaspoon salt cup vegetable broth cup uncooked basmati rice rinse drain cup freeze pea carrot bay leaf
278899,Chamoy Sauce 1 cup apricot jam 1/4 cup freshly squeezed lime juice 3 teaspoons ancho chile powder 1 teaspoon salt,chamoy sauce cup apricot jam cup freshly squeeze lime juice teaspoon ancho chile powder teaspoon salt
278901,"Tomato-Mint Raita 1/2 cup fresh mint leaves 1/2 cup fresh cilantro leaves 1 green bird's eye chile pepper, stemmed (optional) 2 tablespoons water 2 cups dahi (Indian yogurt) 10 ounces hothouse tomatoes 1 teaspoon ground cumin 1/2 teaspoon ground coriander",tomato mint raita cup fresh mint leaf cup fresh cilantro leaf green bird eye chile pepper stem optional tablespoon water cup dahi indian yogurt ounce hothouse tomato teaspoon grind cumin teaspoon grind coriander
278903,"Carrot Sheet Cake cooking spray Cake: 2 cups all-purpose flour 2 teaspoons baking powder 2 teaspoons ground cinnamon 1 1/2 teaspoons baking soda 1 1/2 teaspoons salt 4 large eggs 2 cups white sugar 1 1/2 cups oil 1 (8 ounce) can crushed pineapple, drained 1 1/3 cups finely grated carrots 1 cup sweetened flaked coconut 1/2 cup chopped walnuts Frosting: 1 stick unsalted butter, softened 1 (8 ounce) package cream cheese, softened 1 1/3 cups sifted powdered sugar 1 teaspoon vanilla extract",carrot sheet cake cook spray cake cup purpose flour teaspoon bake powder teaspoon grind cinnamon teaspoon bake soda teaspoon salt large egg cup white sugar cup oil ounce crush pineapple drain cup finely grate carrot cup sweeten flake coconut cup chop walnut frost stick unsalted butter soften ounce package cream cheese soften cup sift powder sugar teaspoon vanilla extract
278904,Sun-Dried Tomato and Goat Cheese Sous Vide Egg Bites ¼ cup oil-packed sun-dried tomatoes 1 teaspoon balsamic vinegar ⅛ teaspoon garlic powder 1 pinch salt and ground black pepper to taste 6 large eggs ½ cup cottage cheese 2 ounces goat cheese 2 tablespoons heavy cream ½ teaspoon salt 6 (4-ounce) mason jars 1  serving cooking spray,sun dry tomato goat cheese sou vide egg bite cup oil pack sun dry tomato teaspoon balsamic vinegar teaspoon garlic powder pinch salt grind black pepper taste large egg cup cottage cheese ounce goat cheese tablespoon heavy cream teaspoon salt ounce mason jar serve cook spray
278905,"Firehouse Chili and Cornbread Casserole 1 tablespoon olive oil 1  yellow onion, diced 2 teaspoons kosher salt, or more to taste 2 pounds ground beef 2 tablespoons all-purpose flour ½ cup diced poblano pepper 3 cloves garlic, crushed 3 tablespoons chili powder 2 teaspoons ground cumin 2 teaspoons freshly ground black pepper ½ teaspoon cayenne pepper ½ teaspoon dried oregano 1 (15 ounce) can fire-roasted diced tomatoes 1 (15 ounce) can fire-roasted crushed tomatoes 2 cups water, or as needed 1 (16 ounce) can kidney beans, rinsed and drained",firehouse chili cornbread casserole tablespoon olive oil yellow onion dice teaspoon kosher salt taste pound grind beef tablespoon purpose flour cup dice poblano pepper cleave garlic crush tablespoon chili powder teaspoon grind cumin teaspoon freshly grind black pepper teaspoon cayenne pepper teaspoon dry oregano ounce fire roast dice tomato ounce fire roast crush tomato cup water need ounce kidney bean rinse drain
